OID_,Segment,Shape_Length,Density,Initial_pop
1,26,20006.640300495757401,29.916670000000000,5983334.000000000000000
2,25,20034.497888960602722,4.083334000000000,816666.799999999930151
3,24,19999.411142735298199,0.000000000000000,0.000000000000000
4,23,20005.062344649457373,0.000000000000000,0.000000000000000
5,29,20003.971928708258929,0.000000000000000,0.000000000000000
6,33,20028.148850538447732,1.291667000000000,258333.399999999994179
7,32,20010.585868538280920,0.000000000000000,0.000000000000000
8,31,20001.974519436909759,0.000000000000000,0.000000000000000
9,30,20009.142998578299739,0.000000000000000,0.000000000000000
10,28,20000.864061543328717,0.000000000000000,0.000000000000000
11,27,13208.558825966425502,0.000000000000000,0.000000000000000
12,35,19999.210668865958723,0.000000000000000,0.000000000000000
13,34,19998.762475945746701,0.000000000000000,0.000000000000000
14,21,20009.332221317516087,0.000000000000000,0.000000000000000
15,1,19995.656847630998527,0.000000000000000,0.000000000000000
16,2,19996.457072057961341,0.000000000000000,0.000000000000000
17,3,19997.792692613173131,6.229167000000000,1245833.400000000139698
18,4,19999.317046615771687,18.083330000000000,3616666.000000000000000
19,5,20000.752251741963846,30.416670000000000,6083334.000000000000000
20,6,20002.222815330169396,12.083330000000000,2416666.000000000000000
21,7,20002.783006532052241,26.416670000000000,5283334.000000000000000
22,8,20002.988099212579982,8.827381000000001,1765476.200000000186265
23,9,20004.070210423691606,3.041667000000000,608333.400000000023283
24,10,20005.692713189859205,0.791666500000000,158333.300000000017462
25,11,20007.243781786357431,1.583333000000000,316666.600000000034925
26,12,20009.024450210439682,1.833333000000000,366666.600000000034925
27,13,20009.670649885112653,0.708333300000000,141666.660000000003492
28,14,20010.174883339150256,1.625000000000000,325000.000000000000000
29,15,20010.278752085974702,0.500000000000000,100000.000000000000000
30,16,20010.242711813494680,1.666667000000000,333333.399999999965075
31,17,20010.718534978153912,1.666667000000000,333333.399999999965075
32,18,20010.500197107012355,1.666667000000000,333333.399999999965075
33,19,20009.998317709992989,0.000000000000000,0.000000000000000
34,20,20009.060084203483711,0.000000000000000,0.000000000000000
35,22,19997.344491176932934,0.000000000000000,0.000000000000000
