seg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
26,1,0.968449,0.174056671,0,0,0,0,0,0,0,0.441311814,0.984025016
25,1,0.968449,0.368870478,0,0,0,0,0,0,0.000285,0.587733728,0.985745225
24,1,0.968449,0.662901069,0,0,0,0,0,0,0.00512675,0.813607156,0.986175115
23,1,0.968449,0.774611921,0.011491499,0,0,0,0,0,0.016656775,0.882174549,0.986175115
29,1,0.966903091,0.17,0,0,0,0,0,0,0,0.440043227,0.981078045
33,1,0.61750775,0,0,0,0,0,0,0,0,0.042016882,0.797330938
32,1,0.689850556,0,0,0,0,0,0,0,0,0.083950778,0.886328556
31,1,0.834946083,0,0,0,0,0,0,0,0,0.135846583,0.949180917
30,1,0.954356615,0.026923077,0,0,0,0,0,0,0,0.291941385,0.967387615
28,1,0.968449,0.61,0,0,0,0,0,0,0.001536,0.706349,0.986175
27,1,0.968449,0.98,0.471428667,0.002560111,0,0,0,0.001587333,0.369687778,0.998413,0.986175
21,0.9166065,0,0,0,0,0,0,0,0,0,0,0.283909
1,1,0.968449,0.8659028,0.1889108,0,0,0,0,0.0001985,0.151903,0.906757,0.986175
2,1,0.968449,0.4515715,0,0,0,0,0,0,0.00131675,0.6083635,0.9847095
3,1,0.968449,0.2652765,0,0,0,0,0,0,0,0.4780598,0.9821697
4,1,0.9661418,0.1049433,0,0,0,0,0,0,0,0.3414083,0.9795917
5,1,0.956469,0.028818,0,0,0,0,0,0,0,0.2985693,0.9747172
6,1,0.822894,0.0035,0,0,0,0,0,0,0,0.1599425,0.9626895
7,1,0.7250163,0,0,0,0,0,0,0,0,0.113889,0.9405145
8,1,0.5372533,0,0,0,0,0,0,0,0,0.058425,0.8359955
9,1,0.4045667,0,0,0,0,0,0,0,0,0.01147525,0.7060967
10,1,0.369669,0,0,0,0,0,0,0,0,0.01763175,0.69363
11,1,0.3088648,0,0,0,0,0,0,0,0,0.010712,0.6176253
12,1,0.2662662,0,0,0,0,0,0,0,0,0.0021525,0.5938125
13,1,0.2485152,0,0,0,0,0,0,0,0,0.00009925,0.5915297
14,1,0.209106,0,0,0,0,0,0,0,0,0,0.53059
15,0.9992382,0.176056,0,0,0,0,0,0,0,0,0.001432,0.5483585
16,0.993458,0.1254808,0,0,0,0,0,0,0,0,0,0.4871195
17,0.9893652,0.08316525,0,0,0,0,0,0,0,0,0,0.439894
18,0.985252,0.05995925,0,0,0,0,0,0,0,0,0,0.4132843
19,0.974043,0.02776075,0,0,0,0,0,0,0,0,0,0.3725955
20,0.9515493,0.00436975,0,0,0,0,0,0,0,0,0,0.309651
22,0.882915,0,0,0,0,0,0,0,0,0,0,0.262155
35,1,0.9642738,0.101,0,0,0,0,0,0,0,0.3403175,0.9806452
34,1,0.968449,0.226666667,0,0,0,0,0,0,0,0.479188778,0.983785556
